id,headline,author,content,source,published_date,engagement_score,clicks,read_time,sentiment_score,is_fake
82,Headline 82,John Doe,Content of news article 82,Independent,2019-01-21 06:00:00,55,3806,10,0.06655722134931574,1
83,Headline 83,Reporter X,Content of news article 83,News Source 2,2019-01-21 12:00:00,42,2192,6,-0.6219231551249251,1
84,Headline 84,Anonymous,Content of news article 84,News Source 1,2019-01-21 18:00:00,23,164,4,-0.96218907715352,1
85,Headline 85,Anonymous,Content of news article 85,Blog,2019-01-22 00:00:00,74,1942,10,0.4771471509784593,1
86,Headline 86,Reporter X,Content of news article 86,Independent,2019-01-22 06:00:00,37,2968,9,0.22754565978071906,0
87,Headline 87,Anonymous,Content of news article 87,Blog,2019-01-22 12:00:00,10,376,13,0.67508724875102,0
88,Headline 88,John Doe,Content of news article 88,Blog,2019-01-22 18:00:00,67,1160,1,0.1258072944727271,1
89,Headline 89,Reporter X,Content of news article 89,Independent,2019-01-23 00:00:00,54,4226,5,0.21088204781633713,1
90,Headline 90,John Doe,Content of news article 90,News Source 2,2019-01-23 06:00:00,64,33,1,-0.011185812056256683,1
91,Headline 91,Reporter X,Content of news article 91,Blog,2019-01-23 12:00:00,52,3880,11,-0.9318560216069864,1
92,Headline 92,Reporter X,Content of news article 92,News Source 1,2019-01-23 18:00:00,40,3799,4,-0.8376877684763222,1
93,Headline 93,Reporter X,Content of news article 93,News Source 1,2019-01-24 00:00:00,10,3000,10,-0.13756014594359356,1
94,Headline 94,Jane Smith,Content of news article 94,Blog,2019-01-24 06:00:00,47,3388,1,0.3472918030674417,0
95,Headline 95,Reporter X,Content of news article 95,News Source 2,2019-01-24 12:00:00,70,264,7,-0.7503275098705076,0
96,Headline 96,Jane Smith,Content of news article 96,Blog,2019-01-24 18:00:00,97,1310,9,-0.7888000966693867,1
97,Headline 97,Anonymous,Content of news article 97,Independent,2019-01-25 00:00:00,5,2935,3,-0.23841755788120467,1
98,Headline 98,Anonymous,Content of news article 98,News Source 1,2019-01-25 06:00:00,100,3514,6,0.9446839190353276,0
99,Headline 99,Jane Smith,Content of news article 99,Blog,2019-01-25 12:00:00,46,4221,4,-0.8316078844804085,0
100,Headline 100,Reporter X,Content of news article 100,Blog,2019-01-25 18:00:00,48,367,3,-0.7143928105210273,1
101,Headline 101,John Doe,Content of news article 101,Blog,2019-01-26 00:00:00,88,3389,2,-0.8107938467821223,0
102,Headline 102,Anonymous,Content of news article 102,News Source 2,2019-01-26 06:00:00,85,2529,7,0.06987225284418708,1
103,Headline 103,John Doe,Content of news article 103,News Source 1,2019-01-26 12:00:00,82,2439,14,0.38166884750385943,0
104,Headline 104,Reporter X,Content of news article 104,Independent,2019-01-26 18:00:00,96,102,13,0.0999297422221499,0
105,Headline 105,Jane Smith,Content of news article 105,News Source 1,2019-01-27 00:00:00,45,654,5,-0.27926585225552025,0
106,Headline 106,John Doe,Content of news article 106,News Source 2,2019-01-27 06:00:00,21,4723,7,-0.583157096629263,1
107,Headline 107,Anonymous,Content of news article 107,News Source 1,2019-01-27 12:00:00,5,4462,4,0.8663430654139928,1
108,Headline 108,Reporter X,Content of news article 108,Blog,2019-01-27 18:00:00,59,405,13,0.6705099031819686,0
109,Headline 109,John Doe,Content of news article 109,Independent,2019-01-28 00:00:00,28,4235,8,-0.9182304228809695,1
110,Headline 110,Anonymous,Content of news article 110,News Source 2,2019-01-28 06:00:00,92,1310,12,-0.8631092794221682,0
111,Headline 111,Jane Smith,Content of news article 111,Independent,2019-01-28 12:00:00,49,4315,11,-0.6427482171801073,0
112,Headline 112,Reporter X,Content of news article 112,Independent,2019-01-28 18:00:00,42,4269,8,0.7567821046889085,1
113,Headline 113,Reporter X,Content of news article 113,Blog,2019-01-29 00:00:00,77,3469,7,-0.43738396060881923,1
114,Headline 114,John Doe,Content of news article 114,News Source 2,2019-01-29 06:00:00,72,1392,3,-0.6389960355186581,0
115,Headline 115,John Doe,Content of news article 115,Blog,2019-01-29 12:00:00,75,3668,9,-0.15409095112747995,0
116,Headline 116,Anonymous,Content of news article 116,Blog,2019-01-29 18:00:00,48,690,10,-0.9344982521165375,1
117,Headline 117,Jane Smith,Content of news article 117,Independent,2019-01-30 00:00:00,54,2575,2,-0.8557708064540612,0
118,Headline 118,Reporter X,Content of news article 118,Blog,2019-01-30 06:00:00,38,3691,8,-0.5467111731449816,0
119,Headline 119,John Doe,Content of news article 119,News Source 2,2019-01-30 12:00:00,69,940,3,0.270390568906296,1
120,Headline 120,Anonymous,Content of news article 120,Blog,2019-01-30 18:00:00,54,2952,12,-0.3717271215961777,1
121,Headline 121,Reporter X,Content of news article 121,Independent,2019-01-31 00:00:00,52,2665,7,-0.87699469324066,1
122,Headline 122,John Doe,Content of news article 122,News Source 2,2019-01-31 06:00:00,19,1159,9,-0.43055314931605304,0
123,Headline 123,Jane Smith,Content of news article 123,Blog,2019-01-31 12:00:00,25,4362,4,-0.983269692529847,0
124,Headline 124,Reporter X,Content of news article 124,News Source 1,2019-01-31 18:00:00,44,1632,5,-0.3797885132574492,1
125,Headline 125,John Doe,Content of news article 125,News Source 2,2019-02-01 00:00:00,40,4556,1,-0.5497561767242998,0
126,Headline 126,John Doe,Content of news article 126,Independent,2019-02-01 06:00:00,32,76,6,0.008743557442768113,0
127,Headline 127,John Doe,Content of news article 127,Blog,2019-02-01 12:00:00,60,2097,6,0.4790008500851357,1
128,Headline 128,Jane Smith,Content of news article 128,Independent,2019-02-01 18:00:00,56,2556,6,-0.050273583741641925,1
129,Headline 129,John Doe,Content of news article 129,News Source 2,2019-02-02 00:00:00,73,3278,13,-0.12576511574039118,0
130,Headline 130,Reporter X,Content of news article 130,Independent,2019-02-02 06:00:00,53,226,5,-0.782340147930092,0
131,Headline 131,Jane Smith,Content of news article 131,News Source 2,2019-02-02 12:00:00,36,212,3,-0.9194195249234738,1
132,Headline 132,Anonymous,Content of news article 132,News Source 2,2019-02-02 18:00:00,26,4235,4,0.8142220043514405,0
133,Headline 133,Jane Smith,Content of news article 133,Independent,2019-02-03 00:00:00,32,4457,14,0.9517844400309041,0
134,Headline 134,Jane Smith,Content of news article 134,Blog,2019-02-03 06:00:00,68,4109,13,-0.26678521898163576,0
135,Headline 135,Jane Smith,Content of news article 135,Blog,2019-02-03 12:00:00,53,4118,4,-0.07362053545788383,1
136,Headline 136,John Doe,Content of news article 136,Blog,2019-02-03 18:00:00,17,238,12,-0.05322948161112295,1
137,Headline 137,Jane Smith,Content of news article 137,Blog,2019-02-04 00:00:00,6,850,7,0.17175597437446677,1
138,Headline 138,John Doe,Content of news article 138,News Source 1,2019-02-04 06:00:00,90,139,14,-0.21419160803712622,1
139,Headline 139,Anonymous,Content of news article 139,Independent,2019-02-04 12:00:00,18,4323,13,0.689495692189273,0
140,Headline 140,John Doe,Content of news article 140,News Source 2,2019-02-04 18:00:00,34,4274,10,-0.8852567357044541,0
141,Headline 141,Anonymous,Content of news article 141,News Source 1,2019-02-05 00:00:00,46,1111,9,-0.8967647013892479,0
142,Headline 142,John Doe,Content of news article 142,Independent,2019-02-05 06:00:00,27,626,15,0.5251119596073184,1
143,Headline 143,Jane Smith,Content of news article 143,News Source 1,2019-02-05 12:00:00,76,1604,2,-0.5909750165128747,1
144,Headline 144,Anonymous,Content of news article 144,News Source 1,2019-02-05 18:00:00,0,2146,15,-0.2981666277935018,0
145,Headline 145,Jane Smith,Content of news article 145,News Source 2,2019-02-06 00:00:00,84,4283,11,0.07957362218040287,0
146,Headline 146,John Doe,Content of news article 146,Independent,2019-02-06 06:00:00,77,4704,3,-0.8379773427965527,0
147,Headline 147,Jane Smith,Content of news article 147,News Source 1,2019-02-06 12:00:00,8,4343,2,-0.1259550790769255,1
148,Headline 148,Jane Smith,Content of news article 148,News Source 2,2019-02-06 18:00:00,46,3081,13,-0.38670844305497254,0
149,Headline 149,Jane Smith,Content of news article 149,News Source 1,2019-02-07 00:00:00,83,1617,2,-0.05783156994678973,1
150,Headline 150,Reporter X,Content of news article 150,Blog,2019-02-07 06:00:00,31,537,11,-0.6518517667305401,1
151,Headline 151,Jane Smith,Content of news article 151,Blog,2019-02-07 12:00:00,12,4977,1,-0.5207746467389751,0
152,Headline 152,Reporter X,Content of news article 152,News Source 1,2019-02-07 18:00:00,91,4994,3,0.3046599612173946,0
153,Headline 153,Anonymous,Content of news article 153,News Source 1,2019-02-08 00:00:00,11,4841,12,-0.5766249872341003,1
154,Headline 154,Reporter X,Content of news article 154,News Source 2,2019-02-08 06:00:00,86,3441,15,-0.8900234205274156,0
155,Headline 155,Anonymous,Content of news article 155,Independent,2019-02-08 12:00:00,1,38,4,0.10747412157359215,1
156,Headline 156,Reporter X,Content of news article 156,News Source 1,2019-02-08 18:00:00,49,2976,2,0.8529997883585434,0
157,Headline 157,Anonymous,Content of news article 157,Independent,2019-02-09 00:00:00,81,2864,2,0.22146225540104347,0
158,Headline 158,John Doe,Content of news article 158,News Source 2,2019-02-09 06:00:00,68,1667,13,-0.7961505228294468,1
159,Headline 159,Jane Smith,Content of news article 159,News Source 2,2019-02-09 12:00:00,11,2976,5,-0.4274956442990627,0
160,Headline 160,Reporter X,Content of news article 160,Independent,2019-02-09 18:00:00,86,4511,9,0.467770271269649,1
161,Headline 161,Jane Smith,Content of news article 161,Independent,2019-02-10 00:00:00,63,216,6,0.15710617056188125,0
162,Headline 162,Reporter X,Content of news article 162,Independent,2019-02-10 06:00:00,32,1893,14,-0.7794091579213351,0
163,Headline 163,Anonymous,Content of news article 163,Blog,2019-02-10 12:00:00,6,2875,3,-0.37641630643447965,1
164,Headline 164,Jane Smith,Content of news article 164,Independent,2019-02-10 18:00:00,13,1332,13,-0.6677811336794557,1
165,Headline 165,Anonymous,Content of news article 165,News Source 1,2019-02-11 00:00:00,26,3410,2,0.15700337259006458,0
166,Headline 166,Reporter X,Content of news article 166,Blog,2019-02-11 06:00:00,41,4500,2,0.32902240455287934,0
167,Headline 167,Jane Smith,Content of news article 167,Blog,2019-02-11 12:00:00,55,725,13,0.7464175950580445,0
168,Headline 168,John Doe,Content of news article 168,News Source 2,2019-02-11 18:00:00,4,911,5,-0.6499617967203453,0
169,Headline 169,Jane Smith,Content of news article 169,News Source 2,2019-02-12 00:00:00,94,4073,3,-0.695233154832612,0
170,Headline 170,Jane Smith,Content of news article 170,News Source 1,2019-02-12 06:00:00,33,4776,14,0.7026462476640805,0
171,Headline 171,Jane Smith,Content of news article 171,News Source 2,2019-02-12 12:00:00,51,817,13,-0.19774465384722806,0
172,Headline 172,Reporter X,Content of news article 172,News Source 2,2019-02-12 18:00:00,92,3236,12,-0.6294867041519963,1
173,Headline 173,John Doe,Content of news article 173,Independent,2019-02-13 00:00:00,3,4080,6,-0.5070104633245043,1
174,Headline 174,Anonymous,Content of news article 174,Independent,2019-02-13 06:00:00,28,3543,9,0.09597898515336878,1
175,Headline 175,John Doe,Content of news article 175,News Source 1,2019-02-13 12:00:00,28,1186,3,0.9827007110677508,1
176,Headline 176,John Doe,Content of news article 176,News Source 2,2019-02-13 18:00:00,21,2186,6,-0.7951142667424409,1
177,Headline 177,Anonymous,Content of news article 177,Independent,2019-02-14 00:00:00,46,593,11,-0.5544046151416071,0
178,Headline 178,John Doe,Content of news article 178,Independent,2019-02-14 06:00:00,50,752,15,0.6087622856202486,1
179,Headline 179,Jane Smith,Content of news article 179,News Source 2,2019-02-14 12:00:00,50,3986,9,0.049793754687570635,1
180,Headline 180,Anonymous,Content of news article 180,Blog,2019-02-14 18:00:00,86,1155,13,0.2963934193807092,0
181,Headline 181,John Doe,Content of news article 181,Independent,2019-02-15 00:00:00,46,4521,3,0.8235503943489366,0
182,Headline 182,Reporter X,Content of news article 182,News Source 1,2019-02-15 06:00:00,78,3862,4,-0.6245915867273677,1
183,Headline 183,Reporter X,Content of news article 183,Blog,2019-02-15 12:00:00,82,701,15,0.7588962111833326,0
184,Headline 184,John Doe,Content of news article 184,Blog,2019-02-15 18:00:00,21,1481,2,0.3596839521350794,0
185,Headline 185,John Doe,Content of news article 185,News Source 2,2019-02-16 00:00:00,56,1673,2,0.13737307812430233,1
186,Headline 186,John Doe,Content of news article 186,Blog,2019-02-16 06:00:00,79,2687,5,0.42120567523700636,0
187,Headline 187,Jane Smith,Content of news article 187,Independent,2019-02-16 12:00:00,44,2489,15,-0.8106330007497515,1
188,Headline 188,Anonymous,Content of news article 188,Blog,2019-02-16 18:00:00,87,3643,5,-0.5378984440844423,0
189,Headline 189,Reporter X,Content of news article 189,Blog,2019-02-17 00:00:00,67,4140,8,-0.2796754366521572,1
190,Headline 190,Reporter X,Content of news article 190,News Source 2,2019-02-17 06:00:00,21,2187,10,0.054981245404170265,0
191,Headline 191,Anonymous,Content of news article 191,News Source 1,2019-02-17 12:00:00,9,4364,1,0.3206574053922411,0
192,Headline 192,Reporter X,Content of news article 192,Independent,2019-02-17 18:00:00,53,411,1,0.3356515435082983,0
193,Headline 193,John Doe,Content of news article 193,Blog,2019-02-18 00:00:00,62,846,11,-0.6294111970381937,1
194,Headline 194,Anonymous,Content of news article 194,Independent,2019-02-18 06:00:00,78,2649,10,-0.13230244573738625,0
195,Headline 195,John Doe,Content of news article 195,Independent,2019-02-18 12:00:00,17,3179,5,0.13215830083888425,0
196,Headline 196,John Doe,Content of news article 196,News Source 2,2019-02-18 18:00:00,75,44,4,-0.4466074253629708,1
197,Headline 197,Jane Smith,Content of news article 197,Independent,2019-02-19 00:00:00,86,4124,13,-0.6089797556169101,1
198,Headline 198,Reporter X,Content of news article 198,Independent,2019-02-19 06:00:00,20,171,12,-0.7543678848563389,0
199,Headline 199,Jane Smith,Content of news article 199,News Source 1,2019-02-19 12:00:00,47,284,13,0.5369337658609108,0
200,Headline 200,Reporter X,Content of news article 200,News Source 2,2019-02-19 18:00:00,55,830,12,0.6339481623077818,0
201,Headline 201,Anonymous,Content of news article 201,Independent,2019-02-20 00:00:00,81,2365,9,0.12875115724986164,0
202,Headline 202,Anonymous,Content of news article 202,News Source 2,2019-02-20 06:00:00,7,1478,7,-0.5663729548255902,1
203,Headline 203,Jane Smith,Content of news article 203,News Source 1,2019-02-20 12:00:00,6,708,4,-0.8003374625825252,0
204,Headline 204,Anonymous,Content of news article 204,Blog,2019-02-20 18:00:00,38,2362,6,-0.2450921980634011,1
205,Headline 205,Anonymous,Content of news article 205,News Source 1,2019-02-21 00:00:00,72,169,7,0.10870399684589782,1
206,Headline 206,Reporter X,Content of news article 206,Blog,2019-02-21 06:00:00,59,1430,12,0.08195117632402571,1
207,Headline 207,Anonymous,Content of news article 207,News Source 1,2019-02-21 12:00:00,56,1092,8,0.7437489900190737,1
208,Headline 208,Reporter X,Content of news article 208,Blog,2019-02-21 18:00:00,52,3185,1,0.9858048189054374,0
209,Headline 209,John Doe,Content of news article 209,Blog,2019-02-22 00:00:00,78,4098,10,0.44136975618784624,1
210,Headline 210,Anonymous,Content of news article 210,News Source 2,2019-02-22 06:00:00,51,4442,13,0.5615083024405401,0
211,Headline 211,Reporter X,Content of news article 211,Independent,2019-02-22 12:00:00,7,2959,2,0.8166179098371902,1
212,Headline 212,Anonymous,Content of news article 212,News Source 2,2019-02-22 18:00:00,69,4499,9,0.31586399271248355,1
213,Headline 213,Reporter X,Content of news article 213,News Source 1,2019-02-23 00:00:00,3,1836,7,-0.033168687560413135,0
214,Headline 214,Jane Smith,Content of news article 214,Blog,2019-02-23 06:00:00,88,3539,1,-0.8467778209223034,1
215,Headline 215,John Doe,Content of news article 215,Independent,2019-02-23 12:00:00,72,2533,1,-0.22287254574868398,1
216,Headline 216,Jane Smith,Content of news article 216,Blog,2019-02-23 18:00:00,35,4279,4,-0.3145003228712233,0
217,Headline 217,Anonymous,Content of news article 217,News Source 1,2019-02-24 00:00:00,61,3765,14,0.08658979194471694,0
218,Headline 218,John Doe,Content of news article 218,Blog,2019-02-24 06:00:00,64,1729,2,0.7269250443607751,0
219,Headline 219,Anonymous,Content of news article 219,News Source 1,2019-02-24 12:00:00,71,4341,14,-0.48626312837746255,0
220,Headline 220,John Doe,Content of news article 220,Independent,2019-02-24 18:00:00,37,2420,12,-0.5907483136005582,0
221,Headline 221,Jane Smith,Content of news article 221,Blog,2019-02-25 00:00:00,98,3522,13,0.6645238714270505,0
222,Headline 222,Jane Smith,Content of news article 222,News Source 2,2019-02-25 06:00:00,13,2602,7,0.48680133956947436,0
223,Headline 223,Reporter X,Content of news article 223,Blog,2019-02-25 12:00:00,31,3191,6,0.24666505277717188,1
224,Headline 224,Jane Smith,Content of news article 224,Blog,2019-02-25 18:00:00,37,3127,1,0.504048904965581,0
225,Headline 225,Reporter X,Content of news article 225,Independent,2019-02-26 00:00:00,73,3719,7,0.5778160447167806,1
226,Headline 226,Reporter X,Content of news article 226,News Source 2,2019-02-26 06:00:00,28,986,6,0.2115514168970074,0
227,Headline 227,Reporter X,Content of news article 227,News Source 1,2019-02-26 12:00:00,95,4207,14,-0.7074383512299747,1
228,Headline 228,Jane Smith,Content of news article 228,Blog,2019-02-26 18:00:00,12,4252,12,0.03006031338756987,0
229,Headline 229,John Doe,Content of news article 229,Independent,2019-02-27 00:00:00,46,3428,15,-0.6256317997333103,0
230,Headline 230,Reporter X,Content of news article 230,Blog,2019-02-27 06:00:00,6,2317,2,0.014769736761590657,0
231,Headline 231,Reporter X,Content of news article 231,Blog,2019-02-27 12:00:00,22,1318,13,0.41041112618572795,0
232,Headline 232,Anonymous,Content of news article 232,Blog,2019-02-27 18:00:00,18,1872,3,-0.9836603878050532,0
233,Headline 233,Reporter X,Content of news article 233,Independent,2019-02-28 00:00:00,98,4708,4,0.6795723091110191,0
234,Headline 234,Anonymous,Content of news article 234,News Source 2,2019-02-28 06:00:00,52,343,11,0.4204104100326087,1
235,Headline 235,Jane Smith,Content of news article 235,Independent,2019-02-28 12:00:00,7,3957,5,-0.005517380792037896,0
236,Headline 236,Reporter X,Content of news article 236,Independent,2019-02-28 18:00:00,94,4054,6,0.9295062867148247,0
237,Headline 237,Jane Smith,Content of news article 237,Blog,2019-03-01 00:00:00,65,4846,11,0.851250963688001,1
238,Headline 238,John Doe,Content of news article 238,News Source 2,2019-03-01 06:00:00,44,3322,6,0.12712310691684592,1
239,Headline 239,John Doe,Content of news article 239,Blog,2019-03-01 12:00:00,22,2913,9,-0.6450751877430732,1
